billing_code,name,description,provider_reference_0,negotiated_rate_0_0,billing_class_0_0,negotiated_rate_0_1,billing_class_0_1,negotiated_rate_0_2,billing_class_0_2,negotiated_rate_0_3,billing_class_0_3,negotiated_rate_0_4,billing_class_0_4,negotiated_rate_0_5,billing_class_0_5,provider_reference_1,negotiated_rate_1_0,billing_class_1_0,negotiated_rate_1_1,billing_class_1_1,negotiated_rate_1_2,billing_class_1_2,negotiated_rate_1_3,billing_class_1_3,negotiated_rate_1_4,billing_class_1_4,negotiated_rate_1_5,billing_class_1_5,provider_reference_2,negotiated_rate_2_0,billing_class_2_0,negotiated_rate_2_1,billing_class_2_1,negotiated_rate_2_2,billing_class_2_2,negotiated_rate_2_3,billing_class_2_3,negotiated_rate_2_4,billing_class_2_4,negotiated_rate_2_5,billing_class_2_5,provider_reference_3,negotiated_rate_3_0,billing_class_3_0,negotiated_rate_3_1,billing_class_3_1,negotiated_rate_3_2,billing_class_3_2,negotiated_rate_3_3,billing_class_3_3,negotiated_rate_3_4,billing_class_3_4,negotiated_rate_3_5,billing_class_3_5,provider_reference_4,negotiated_rate_4_0,billing_class_4_0,negotiated_rate_4_1,billing_class_4_1,negotiated_rate_4_2,billing_class_4_2,negotiated_rate_4_3,billing_class_4_3,negotiated_rate_4_4,billing_class_4_4,negotiated_rate_4_5,billing_class_4_5,negotiated_rate_4_6,billing_class_4_6,provider_reference_5,negotiated_rate_5_0,billing_class_5_0,negotiated_rate_5_1,billing_class_5_1,negotiated_rate_5_2,billing_class_5_2,negotiated_rate_5_3,billing_class_5_3,negotiated_rate_5_4,billing_class_5_4,provider_reference_6,negotiated_rate_6_0,billing_class_6_0,negotiated_rate_6_1,billing_class_6_1,negotiated_rate_6_2,billing_class_6_2,negotiated_rate_6_3,billing_class_6_3,provider_reference_7,negotiated_rate_7_0,billing_class_7_0,negotiated_rate_7_1,billing_class_7_1,negotiated_rate_7_2,billing_class_7_2,negotiated_rate_7_3,billing_class_7_3,negotiated_rate_7_4,billing_class_7_4,provider_reference_8,negotiated_rate_8_0,billing_class_8_0,negotiated_rate_8_1,billing_class_8_1,negotiated_rate_8_2,billing_class_8_2,provider_reference_9,negotiated_rate_9_0,billing_class_9_0,negotiated_rate_9_1,billing_class_9_1,provider_reference_10,negotiated_rate_10_0,billing_class_10_0,negotiated_rate_10_1,billing_class_10_1,provider_reference_11,negotiated_rate_11_0,billing_class_11_0,negotiated_rate_11_1,billing_class_11_1,negotiated_rate_11_2,billing_class_11_2,negotiated_rate_11_3,billing_class_11_3,provider_reference_12,negotiated_rate_12_0,billing_class_12_0,negotiated_rate_12_1,billing_class_12_1,provider_reference_13,negotiated_rate_13_0,billing_class_13_0,provider_reference_14,negotiated_rate_14_0,billing_class_14_0,negotiated_rate_14_1,billing_class_14_1,provider_reference_15,negotiated_rate_15_0,billing_class_15_0,negotiated_rate_15_1,billing_class_15_1,provider_reference_16,negotiated_rate_16_0,billing_class_16_0,provider_reference_17,negotiated_rate_17_0,billing_class_17_0,negotiated_rate_17_1,billing_class_17_1,provider_reference_18,negotiated_rate_18_0,billing_class_18_0,negotiated_rate_18_1,billing_class_18_1,provider_reference_19,negotiated_rate_19_0,billing_class_19_0,provider_reference_20,negotiated_rate_20_0,billing_class_20_0,negotiated_rate_20_1,billing_class_20_1,provider_reference_21,negotiated_rate_21_0,billing_class_21_0,provider_reference_22,negotiated_rate_22_0,billing_class_22_0,provider_reference_23,negotiated_rate_23_0,billing_class_23_0,provider_reference_24,negotiated_rate_24_0,billing_class_24_0,provider_reference_25,negotiated_rate_25_0,billing_class_25_0,negotiated_rate_25_1,billing_class_25_1,provider_reference_26,negotiated_rate_26_0,billing_class_26_0,negotiated_rate_26_1,billing_class_26_1,provider_reference_27,negotiated_rate_27_0,billing_class_27_0,negotiated_rate_27_1,billing_class_27_1,provider_reference_28,negotiated_rate_28_0,billing_class_28_0,negotiated_rate_28_1,billing_class_28_1,provider_reference_29,negotiated_rate_29_0,billing_class_29_0,negotiated_rate_29_1,billing_class_29_1,provider_reference_30,negotiated_rate_30_0,billing_class_30_0,provider_reference_31,negotiated_rate_31_0,billing_class_31_0,negotiated_rate_31_1,billing_class_31_1,provider_reference_32,negotiated_rate_32_0,billing_class_32_0,negotiated_rate_32_1,billing_class_32_1,provider_reference_33,negotiated_rate_33_0,billing_class_33_0,provider_reference_34,negotiated_rate_34_0,billing_class_34_0,provider_reference_35,negotiated_rate_35_0,billing_class_35_0,provider_reference_36,negotiated_rate_36_0,billing_class_36_0,provider_reference_37,negotiated_rate_37_0,billing_class_37_0,provider_reference_38,negotiated_rate_38_0,billing_class_38_0,provider_reference_39,negotiated_rate_39_0,billing_class_39_0,negotiated_rate_39_1,billing_class_39_1,provider_reference_40,negotiated_rate_40_0,billing_class_40_0,provider_reference_41,negotiated_rate_41_0,billing_class_41_0,provider_reference_42,negotiated_rate_42_0,billing_class_42_0,provider_reference_43,negotiated_rate_43_0,billing_class_43_0,provider_reference_44,negotiated_rate_44_0,billing_class_44_0,provider_reference_45,negotiated_rate_45_0,billing_class_45_0,provider_reference_46,negotiated_rate_46_0,billing_class_46_0,provider_reference_47,negotiated_rate_47_0,billing_class_47_0,provider_reference_48,negotiated_rate_48_0,billing_class_48_0,provider_reference_49,negotiated_rate_49_0,billing_class_49_0,provider_reference_50,negotiated_rate_50_0,billing_class_50_0,provider_reference_51,negotiated_rate_51_0,billing_class_51_0,provider_reference_52,negotiated_rate_52_0,billing_class_52_0,provider_reference_53,negotiated_rate_53_0,billing_class_53_0,provider_reference_54,negotiated_rate_54_0,billing_class_54_0,provider_reference_55,negotiated_rate_55_0,billing_class_55_0,provider_reference_56,negotiated_rate_56_0,billing_class_56_0,negotiated_rate_56_1,billing_class_56_1,provider_reference_57,negotiated_rate_57_0,billing_class_57_0,provider_reference_58,negotiated_rate_58_0,billing_class_58_0,provider_reference_59,negotiated_rate_59_0,billing_class_59_0,provider_reference_60,negotiated_rate_60_0,billing_class_60_0,provider_reference_61,negotiated_rate_61_0,billing_class_61_0
17110,DESTRUCT B9 LESION 1-14,DESTRUCT B9 LESION 1-14,2760,233,institutional,59.55,institutional,,,,,,,,,8246,90.78,professional,,,,,,,,,,,1982,76.46,professional,,,,,,,,,,,3628,90.32,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74170,CT ABDOMEN W/O & W/DYE,CT ABDOMEN W/O & W/DYE,2760,471.49,institutional,,,,,,,,,,,1988,79.36,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96376,TX/PRO/DX INJ SAME DRUG ADON,TX/PRO/DX INJ SAME DRUG ADON,2760,140.62,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87880,STREP A ASSAY W/OPTIC,STREP A ASSAY W/OPTIC,3876,10.77,professional,,,,,,,,,,,2760,20.76,institutional,21.92,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1745,INFLIXIMAB NOT BIOSIMIL 10MG,INFLIXIMAB NOT BIOSIMIL 10MG,2760,66.84,institutional,72.59,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99244,OFFICE CONSULTATION,OFFICE CONSULTATION,1982,182.04,professional,,,,,,,,,,,669,199.37,professional,,,,,,,,,,,2580,213.34,professional,,,,,,,,,,,2339,213.38,professional,,,,,,,,,,,2437,213.57,professional,,,,,,,,,,,,,2571,213.57,professional,,,,,,,,,5307,213.57,professional,,,,,,,7457,213.57,professional,,,,,,,,,308,213.87,professional,,,,,608,213.87,professional,,,102,214.76,professional,,,5856,214.76,professional,,,,,,,7201,214.76,professional,,,8081,214.76,professional,4760,175.53,professional,,,1248,214.46,professional,,,1988,214.17,professional,8144,214.17,professional,,,8248,214.05,professional,,,165,214.09,professional,7615,213.43,professional,,,194,212.98,professional,4048,212.98,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87070,CULTURE OTHR SPECIMN AEROBIC,CULTURE OTHR SPECIMN AEROBIC,6485,6.8,professional,,,,,,,,,,,6147,6.93,professional,,,,,,,,,,,2760,27.33,institutional,,,,,,,,,,,1981,6.69,professional,,,,,,,,,,,2760,28.75,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99395,PREV VISIT EST AGE 18-39,PREV VISIT EST AGE 18-39,8081,123.79,professional,,,,,,,,,,,1982,105.41,professional,138.91,professional,,,,,,,,,8144,120.8,professional,,,,,,,,,,,194,113.3,professional,,,,,,,,,,,3876,85.18,professional,,,,,,,,,,,,,5307,119.51,professional,163.76,professional,,,,,,,4760,105.3,professional,139.75,professional,,,,,2760,101.33,institutional,120.06,institutional,131.34,institutional,184.4,institutional,252.16,institutional,37,123.74,professional,164.42,professional,,,1737,76.3,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73030,X-RAY EXAM OF SHOULDER,X-RAY EXAM OF SHOULDER,1988,13,professional,,,,,,,,,,,2760,223,institutional,30.4,institutional,58.75,institutional,75.14,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71046,X-RAY EXAM CHEST 2 VIEWS,X-RAY EXAM CHEST 2 VIEWS,1988,14.98,professional,,,,,,,,,,,2760,116.4,institutional,147.08,institutional,230.65,institutional,66.03,institutional,68.04,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99441,PHONE E/M PHYS/QHP 5-10 MIN,PHONE E/M PHYS/QHP 5-10 MIN,5307,50.5,professional,77.15,professional,,,,,,,,,4760,42.92,professional,65.53,professional,,,,,,,,,165,77.2,professional,,,,,,,,,,,2339,77.2,professional,,,,,,,,,,,2437,77.2,professional,,,,,,,,,,,,,2571,77.2,professional,,,,,,,,,2580,77.2,professional,,,,,,,308,77.2,professional,,,,,,,,,3628,77.2,professional,,,,,4048,77.2,professional,,,5273,77.2,professional,,,5948,77.2,professional,,,,,,,7556,77.2,professional,,,8248,77.2,professional,194,77.16,professional,,,37,77.13,professional,,,1982,65.55,professional,2036,11.23,professional,,,5387,77.11,professional,,,8246,77.11,professional,7137,77.02,professional,,,7615,77.02,professional,1248,50.09,professional,37,50.09,professional,8081,77.06,professional,8144,64.21,professional,,,1248,77.08,professional,,,669,77.14,professional,,,4665,28,professional,,,3876,13.21,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73610,X-RAY EXAM OF ANKLE,X-RAY EXAM OF ANKLE,2760,36.28,institutional,50.84,institutional,51.85,institutional,59.04,institutional,,,,,1988,12.07,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58671,LAPAROSCOPY TUBAL BLOCK,LAPAROSCOPY TUBAL BLOCK,8144,530.08,professional,,,,,,,,,,,2760,6246.5,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87389,HIV-1 AG W/HIV-1&-2 AB AG IA,HIV-1 AG W/HIV-1&-2 AB AG IA,6485,18.94,professional,,,,,,,,,,,2512,18.69,professional,,,,,,,,,,,6147,13.28,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72156,MRI NECK SPINE W/O & W/DYE,MRI NECK SPINE W/O & W/DYE,1988,155.23,professional,,,,,,,,,,,2760,1179.62,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74177,CT ABD & PELV W/CONTRAST,CT ABD & PELV W/CONTRAST,2760,1053.83,institutional,1108.65,institutional,759.09,institutional,961.94,institutional,,,,,1988,117.01,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97110,THERAPEUTIC EXERCISES,THERAPEUTIC EXERCISES,5980,41.25,professional,,,,,,,,,,,1746,18.11,professional,,,,,,,,,,,1141,41.13,professional,,,,,,,,,,,8081,41.13,professional,,,,,,,,,,,2760,54.99,institutional,55.58,institutional,56.32,institutional,57.82,institutional,60.74,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69436,CREATE EARDRUM OPENING,CREATE EARDRUM OPENING,8248,167.13,professional,,,,,,,,,,,2760,1234.08,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76770,US EXAM ABDO BACK WALL COMP,US EXAM ABDO BACK WALL COMP,2760,374.25,institutional,,,,,,,,,,,1988,50.26,professional,,,,,,,,,,,2760,326.45,institutional,336.9,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76813,OB US NUCHAL MEAS 1 GEST,OB US NUCHAL MEAS 1 GEST,2760,172.69,institutional,,,,,,,,,,,8144,80.59,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84484,ASSAY OF TROPONIN QUANT,ASSAY OF TROPONIN QUANT,2760,30.56,institutional,31.81,institutional,52.07,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92507,SPEECH/HEARING THERAPY,SPEECH/HEARING THERAPY,2760,132.48,institutional,143.7,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90791,PSYCH DIAGNOSTIC EVALUATION,PSYCH DIAGNOSTIC EVALUATION,2760,458.93,institutional,,,,,,,,,,,7138,192.42,professional,215.8,professional,,,,,,,,,2760,453.16,institutional,,,,,,,,,,,4499,158.86,professional,,,,,,,,,,,4760,184.55,professional,,,,,,,,,,,,,6113,201.83,professional,,,,,,,,,8476,111.11,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86704,HEP B CORE ANTIBODY TOTAL,HEP B CORE ANTIBODY TOTAL,6147,9.7,professional,,,,,,,,,,,2760,8.66,institutional,,,,,,,,,,,6485,9.51,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82947,ASSAY GLUCOSE BLOOD QUANT,ASSAY GLUCOSE BLOOD QUANT,2760,7.97,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71101,X-RAY EXAM UNILAT RIBS/CHEST,X-RAY EXAM UNILAT RIBS/CHEST,2760,157.72,institutional,,,,,,,,,,,1988,18.36,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55250,REMOVAL OF SPERM DUCT(S),REMOVAL OF SPERM DUCT(S),2760,3167.23,institutional,,,,,,,,,,,1248,318.75,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17311,MOHS 1 STAGE H/N/HF/G,MOHS 1 STAGE H/N/HF/G,3628,331.32,professional,,,,,,,,,,,2760,1250.18,institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
